v0,k,theta,rho,eta
0.0034930595766396594,0.8000000123653312,0.007412605527328854,-0.10001468094090697,0.3500486539201561
0.0029653187875822874,0.7999987178125054,0.002966896851141495,-0.10005086334136093,0.3505210317166641
0.0035627410887174847,0.7999962194026188,0.0035694371257410343,-0.10007578635032943,0.3507534965822775
0.004427822287197298,0.7999948965370042,0.004428974553611878,-0.10008160778908115,0.3506869472725241
0.004825821342451436,0.7999938332682704,0.004826288688226644,-0.10002328146210869,0.35059744567365037
0.005057824408096697,0.79998466999549,0.005066023386929611,-0.10013809670088693,0.35076905024591154
0.005351575355732563,0.7999800572923559,0.005385034008659976,-0.10016744531402477,0.3507042010890981
0.005496273622235853,0.7999760635777722,0.005554929016362098,-0.10019126486660497,0.3506612492930743
0.005597526239956057,0.799978643505105,0.005676762184286247,-0.10020840792263078,0.3505113080106696
0.005753597887613511,0.7999809507421114,0.005854503740303329,-0.10021453806148457,0.3504117470587529
0.006072426403383487,0.7999875979133252,0.006214406814777139,-0.10022468409710777,0.35023230332654653
0.0063508797347544,0.799992168390955,0.006504701399750794,-0.10021817688690625,0.3501358377450779
0.00687538382120017,0.7999968178287836,0.006978194285846824,-0.1001351544845726,0.35005287145360375
0.0071122357173406545,0.7999981874947848,0.00720300431288277,-0.10010889735806529,0.35002675425994795
0.007328355062876012,0.8000028175436583,0.007429334305049999,-0.10008363021470026,0.3499976273914058
0.00816967732130306,0.8000008242303774,0.00828580521066336,-0.09999974350587976,0.3499974228661707
0.00821120739536599,0.8000016537255848,0.008480938948367283,-0.0999994708454211,0.3499951832152643
0.008922348376113096,0.8000186786212401,0.010057060548787172,-0.10000176891155473,0.3499519633912187
