v0,k,theta,rho,eta
0.0032152966504465,0.5999999796629041,0.009169146150336604,-0.20001715178647256,0.4001104594641779
0.0023916688402744724,0.6011421196423152,0.04,-0.19086713629814514,0.05
0.004042564376587521,0.5999918168163697,0.004044163454240385,-0.20010650135816618,0.4014225346907876
0.003721598824854307,0.6002791024943622,0.04,-0.17963410929004173,0.3736106332205029
0.0038429462533347354,0.6003362351300882,0.04,-0.18864151826766706,0.3785756588755591
0.005269717693120767,0.5999510551640795,0.00529186974020294,-0.20018116394590124,0.4020135397145337
0.0056216797400094,0.5999277839968123,0.005651926784466957,-0.2002248739436675,0.4020031658165838
0.0017187424190975888,0.600670074384159,0.04,-0.1986304169201724,0.38976479672627196
0.001,0.6112122986437853,0.03550607166508961,-0.24321826050666556,0.2554011905449211
0.002983923716018233,0.6096900629193914,0.018378010889211614,-0.23009071012408647,0.21621759082388195
0.0011049722661780326,0.6203182452356061,0.021020699369342626,-0.2880127893402914,0.18346800860514328
0.001,0.6221312722429324,0.02000239014401659,-0.3071512029766961,0.24012120491935945
0.001,0.6349680010614918,0.01579931841250666,-0.29585429500450133,0.20953837531253694
0.001,0.6414702742616912,0.013942265708082244,-0.28663498771953855,0.24126552017563319
0.021541740898168914,0.5998833524896101,0.0010783104300821462,-0.22996979102389997,0.4007728279118205
0.027535557844912108,0.5980320809075172,0.001,-0.20263031145084187,0.4040306050975579
0.03400875258050326,0.5958570917520433,0.001,-0.20103020400082955,0.40808017024877963
0.010104643190276227,0.6000049364843999,0.010516248873488393,-0.19999730118665843,0.399991312443407
